Reaction Date,Reaction Type,Parent Type,Parent ID
"Apr 12, 2022, 12:22:28 PM",Kudos,Activity,6966974928
"Apr 12, 2022, 12:22:30 PM",Kudos,Activity,6966195042
"Apr 12, 2022, 12:22:41 PM",Kudos,Activity,6967120169
"Apr 12, 2022, 12:22:45 PM",Kudos,Activity,6969214330
"Apr 12, 2022, 12:22:50 PM",Kudos,Activity,6965899225
"Apr 13, 2022, 11:20:57 AM",Kudos,Activity,6972389632
"Apr 13, 2022, 11:21:00 AM",Kudos,Activity,6969880815
"Apr 13, 2022, 11:21:02 AM",Kudos,Post,20255639
"Apr 13, 2022, 11:21:10 AM",Kudos,Activity,6972529459
"Apr 13, 2022, 11:21:18 AM",Kudos,Activity,6974469071
"Apr 14, 2022, 2:18:39 PM",Kudos,Activity,6975208808
"Apr 14, 2022, 2:18:53 PM",Kudos,Activity,6979820927
"Apr 14, 2022, 2:19:02 PM",Kudos,Activity,6975570581
"Apr 16, 2022, 12:03:21 AM",Kudos,Activity,6986913280
"Apr 17, 2022, 1:27:10 AM",Kudos,Activity,6992787602
"Apr 17, 2022, 1:27:23 AM",Kudos,Activity,6991930937
"Apr 17, 2022, 1:27:29 AM",Kudos,Activity,6991455942
"Apr 17, 2022, 1:27:32 AM",Kudos,Activity,6993789063
"Apr 17, 2022, 1:27:36 AM",Kudos,Activity,6992357444
"Apr 17, 2022, 1:27:55 AM",Kudos,Activity,6992069868
"Apr 17, 2022, 1:27:56 AM",Kudos,Activity,6992576880
"Apr 17, 2022, 7:08:30 PM",Kudos,Activity,6997400515
"Apr 17, 2022, 7:09:12 PM",Kudos,Activity,6996814334
"Apr 17, 2022, 7:09:17 PM",Kudos,Activity,6996856130
"Apr 17, 2022, 7:09:19 PM",Kudos,Activity,6997016304
"Apr 17, 2022, 7:09:24 PM",Kudos,Activity,6997307032
"Apr 17, 2022, 7:09:26 PM",Kudos,Activity,6996812980
"Apr 17, 2022, 10:26:55 PM",Kudos,Activity,6998897982
"Apr 19, 2022, 11:31:22 AM",Kudos,Activity,7004161014
"Apr 19, 2022, 11:31:29 AM",Kudos,Activity,7004106667
"Apr 19, 2022, 11:33:25 AM",Kudos,Activity,7006283160
"Apr 19, 2022, 12:00:07 PM",Kudos,Activity,7003672096
"Apr 19, 2022, 12:00:10 PM",Kudos,Activity,7003778006
"Apr 19, 2022, 12:00:14 PM",Kudos,Activity,7001956652
"Apr 19, 2022, 12:00:18 PM",Kudos,Activity,7004652518
"Apr 19, 2022, 12:00:29 PM",Kudos,Activity,7006476546
"Apr 19, 2022, 2:46:01 PM",Kudos,Activity,7007211436
"Apr 19, 2022, 2:46:09 PM",Kudos,Activity,7006648695
"Apr 19, 2022, 8:01:57 PM",Kudos,Activity,7007483181
"Apr 19, 2022, 8:01:59 PM",Kudos,Activity,7007826725
"Apr 20, 2022, 1:17:46 PM",Kudos,Activity,7009461847
"Apr 20, 2022, 1:17:51 PM",Kudos,Activity,7011782918
"Apr 20, 2022, 1:17:52 PM",Kudos,Activity,7011745579
"Apr 20, 2022, 1:17:57 PM",Kudos,Activity,7009386660
"Apr 20, 2022, 1:21:49 PM",Kudos,Activity,7012068140
"Apr 20, 2022, 1:45:24 PM",Kudos,Activity,7009878696
"Apr 20, 2022, 1:45:26 PM",Kudos,Activity,7010291999
"Apr 20, 2022, 2:08:27 PM",Kudos,Activity,7012322411
"Apr 20, 2022, 2:09:17 PM",Kudos,Activity,7012339574
"Apr 20, 2022, 2:10:04 PM",Kudos,Activity,7012164018
"Apr 21, 2022, 8:21:19 PM",Kudos,Activity,7017290847
"Apr 21, 2022, 8:21:22 PM",Kudos,Activity,7017001165
"Apr 21, 2022, 8:21:25 PM",Kudos,Activity,7018092534
"Apr 21, 2022, 8:21:30 PM",Kudos,Activity,7017037416
"Apr 21, 2022, 8:21:32 PM",Kudos,Activity,7015358583
"Apr 21, 2022, 8:21:35 PM",Kudos,Activity,7017184323
"Apr 21, 2022, 8:21:36 PM",Kudos,Activity,7019627734
"Apr 21, 2022, 8:21:37 PM",Kudos,Activity,7015320689
"Apr 21, 2022, 8:21:39 PM",Kudos,Activity,7012950453
"Apr 21, 2022, 8:21:44 PM",Kudos,Activity,6991016629
"Apr 22, 2022, 11:57:52 AM",Kudos,Activity,7022266716
"Apr 22, 2022, 12:08:48 PM",Kudos,Activity,7020106057
"Apr 22, 2022, 12:09:00 PM",Kudos,Activity,7022190532
"Apr 22, 2022, 12:09:02 PM",Kudos,Activity,7020774208
"Apr 22, 2022, 12:09:04 PM",Kudos,Activity,7020155832
"Apr 22, 2022, 12:09:08 PM",Kudos,Activity,7020779539
"Apr 22, 2022, 9:04:09 PM",Kudos,Activity,7024550995
"Apr 22, 2022, 9:17:32 PM",Kudos,Activity,7024564430
"Apr 22, 2022, 11:10:44 PM",Kudos,Activity,7024876931
"Apr 22, 2022, 11:10:46 PM",Kudos,Activity,7024876737
"Apr 22, 2022, 11:10:48 PM",Kudos,Activity,7024876690
